Player ,Position,Team,Year ,ConfStanding,era ,w,l ,app,gs ,cg ,isho ,csho,sv ,ip ,h ,r ,er ,bb ,so ,2b ,3b ,hr ,ab ,bavg ,wp ,hbp ,bk ,1stTeam ,2ndTeam
Svejcar,P,CSM ,2008,5,19.29 ,0,1 ,5,0 ,0 ,0,0 ,0 ,4.2 ,9 ,10 ,10 ,4 ,3 ,1 ,0 ,3 ,18 ,.500 ,0 ,1 ,0 ,No,No
Wagner,P,CSM ,2008,5,20.45 ,1,1 ,10,4 ,0 ,0,0 ,0 ,11.0 ,26 ,33 ,25 ,22 ,9 ,4 ,1 ,5 ,54 ,.481 ,6 ,1 ,0 ,No,No
Brown,P,CSM ,2011,7,6.84 ,3,6 ,11,8 ,4 ,1,0 ,0 ,52.2 ,76 ,51 ,40 ,22 ,48 ,10 ,2 ,3 ,221 ,.344 ,2 ,10 ,1 ,No,No
Dunham,P,CSM ,2011,7,8.95 ,4,6 ,12,12 ,1 ,0,0 ,0 ,58.1 ,92 ,66 ,58 ,34 ,53 ,25 ,0 ,6 ,256 ,.359 ,1 ,3 ,1 ,No,No
Fuller,P,CSM ,2011,7,7.07 ,3,5 ,11,11 ,1 ,1,0 ,0 ,63.2 ,76 ,63 ,50 ,35 ,50 ,15 ,3 ,4 ,253 ,.300 ,6 ,5 ,0 ,No,No
Jones,P,CSM ,2011,7,0.00 ,0,0 ,1,0 ,0 ,0,0 ,0 ,1.0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,4 ,.000 ,0 ,1 ,0 ,No,No
Smiley,P,CSM ,2011,7,7.52 ,2,6 ,12,12 ,0 ,0,0 ,0 ,61.0 ,87 ,67 ,51 ,48 ,34 ,17 ,3 ,6 ,257 ,.339 ,12 ,7 ,1 ,No,No
Dunham,P,CSM ,2012,6,7.78 ,4,6 ,12,12 ,4 ,0,0 ,0 ,74.0 ,123 ,72 ,64 ,11 ,54 ,26 ,4 ,7 ,323 ,.381 ,5 ,7 ,3 ,No,No
Gilman,P,CSM ,2012,6,9.15 ,2,6 ,13,12 ,2 ,0,0 ,0 ,60.0 ,106 ,72 ,61 ,24 ,43 ,24 ,7 ,3 ,282 ,.376 ,12 ,7 ,4 ,No,No
Herrin,P,CSM ,2012,6,7.36 ,4,3 ,14,11 ,3 ,1,0 ,1 ,62.1 ,90 ,54 ,51 ,27 ,31 ,21 ,6 ,4 ,258 ,.349 ,3 ,10 ,1 ,No,No
Poulin,P,CSM ,2012,6,10.76 ,4,6 ,14,9 ,3 ,1,0 ,0 ,47.2 ,81 ,61 ,57 ,21 ,30 ,20 ,5 ,4 ,209 ,.388 ,0 ,15 ,0 ,No,No
Touhey,P,CSM ,2012,6,6.50 ,0,0 ,6,0 ,0 ,0,0 ,0 ,18.0 ,30 ,18 ,13 ,3 ,7 ,3 ,1 ,1 ,84 ,.357 ,3 ,4 ,1 ,No,No
Balentine,P,CSUP,2009,3,8.83,1,1,14,4,0,0,0,0,34.2,36,36,34,40,37,9,0,3,135,0.267,17,9,3,No,No
Harshman,P,CSUP,2009,3,7.4,9,5,19,14,2,0,0,0,86.1,108,83,71,49,56,22,3,17,345,0.313,8,16,4,No,No
