Player ,Position,Team,Year ,ConfStanding,era ,w,l ,app,gs ,cg ,isho ,csho,sv ,ip ,h ,r ,er ,bb ,so ,2b ,3b ,hr ,ab ,bavg ,wp ,hbp ,bk ,1stTeam ,2ndTeam
Torres,P,NMHU ,2012,2,5.20 ,5,3 ,13,9 ,2 ,0,0 ,0 ,55.1 ,62 ,36 ,32 ,14 ,38 ,11 ,4 ,4 ,223 ,.278 ,1 ,8 ,0 ,No,No
Anderson,P,RU,2009,6,7.52,2,1,17,1,0,0,0,0,26.1,37,27,22,14,20,8,2,6,114,0.325,2,2,0,No,No
Asnicar,P,RU,2009,6,8.25,0,2,11,0,0,0,0,0,12,14,12,11,12,6,4,1,1,46,0.304,3,2,0,No,No
Bonati,P,RU,2009,6,11.05,2,5,11,11,0,0,0,0,44,58,64,54,45,33,12,4,5,176,0.330,9,9,0,No,No
Capra,P,RU,2009,6,7.71,0,0,3,0,0,0,0,0,2.1,4,2,2,3,2,1,0,0,11,0.364,0,0,0,No,No
Chavez,P,RU,2009,6,10.05,2,3,12,6,0,0,0,0,31.1,54,43,35,15,11,10,2,3,146,0.370,1,2,1,No,No
Eustice,P,RU,2009,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,No,No
Falconi,P,RU,2009,6,7.48,3,5,13,10,0,0,0,0,61.1,88,76,51,29,32,19,2,4,261,0.337,8,10,1,No,No
Gallegos,P,RU,2009,6,5.74,3,1,16,0,0,0,0,0,15.2,19,17,10,11,3,5,1,2,59,0.322,0,2,0,No,No
Henderson,P,RU,2009,6,9.75,0,0,7,0,0,0,0,0,12,21,13,13,6,6,5,2,0,56,0.375,1,0,0,No,No
Landwehr,P,RU,2009,6,8.31,1,1,10,0,0,0,0,0,8.2,9,10,8,6,4,5,0,0,35,0.257,2,7,1,No,No
Mack,P,RU,2009,6,7.92,2,1,10,2,0,0,0,0,25,31,32,22,18,12,6,2,3,111,0.279,1,2,0,No,No
McBeth,P,RU,2009,6,15,0,1,4,0,0,0,0,0,3,6,8,5,6,2,0,0,0,14,0.429,0,1,0,No,No
McElreath,P,RU,2009,6,5.68,1,3,8,5,0,0,0,0,25.1,23,27,16,22,17,2,1,2,100,0.230,3,2,0,No,No
Mohrmann,P,RU,2009,6,9.42,1,3,10,10,1,0,0,0,35.1,56,44,37,22,27,8,2,1,157,0.357,15,4,0,No,No
Musielak,P,RU,2009,6,8.62,3,4,18,7,0,0,0,4,47,59,52,45,37,42,18,1,4,191,0.309,13,5,3,No,No
Rogers,P,RU,2009,6,12.88,1,1,11,0,0,0,0,0,21.2,48,37,31,11,19,12,2,4,115,0.417,11,2,0,No,No
Spencer,P,RU,2009,6,8.38,2,1,20,0,0,0,0,4,38.2,58,46,36,24,27,25,0,6,173,0.335,5,1,0,No,No
Anderson,P,RU,2010,6,11.05,1,1,12,0,0,0,0,0,14.2,24,18,18,7,5,8,0,1,61,0.393,3,0,0,No,No
Asnicar,P,RU,2010,6,1.86,2,4,20,0,0,0,0,3,29,27,18,6,24,30,6,0,4,114,0.237,5,3,0,No,Yes
Capra,P,RU,2010,6,12,0,0,5,0,0,0,0,0,9,18,18,12,10,9,4,0,0,45,0.400,1,0,0,No,No
Falconi,P,RU,2010,6,6.49,3,7,14,13,0,0,0,0,68,91,65,49,22,54,25,3,7,286,0.318,6,7,3,No,No
Gallegos,P,RU,2010,6,10.8,0,0,13,0,0,0,0,0,16.2,29,24,20,11,10,3,0,1,76,0.382,2,5,0,No,No
Harms,P,RU,2010,6,9,0,0,1,0,0,0,0,0,2,3,2,2,0,1,2,0,0,8,0.375,1,1,0,No,No
Henderson,P,RU,2010,6,5,5,4,14,14,4,0,0,0,93.2,120,67,52,27,55,25,3,13,382,0.314,3,4,3,Yes,No
Landwehr,P,RU,2010,6,9,1,4,14,1,0,0,0,1,18,24,22,18,19,19,3,0,0,72,0.333,0,2,0,No,No
Mack,P,RU,2010,6,7.94,0,1,2,0,0,0,0,0,5.2,6,7,5,3,2,2,0,1,23,0.261,1,0,1,No,No
McBeth,P,RU,2010,6,5.19,0,0,3,0,0,0,0,0,8.2,14,9,5,5,0,3,0,3,38,0.368,1,0,0,No,No
McElreath,P,RU,2010,6,7.23,1,5,14,6,0,0,0,1,37.1,48,38,30,29,30,9,0,3,152,0.316,4,5,1,No,No
Mohrmann,P,RU,2010,6,10.2,2,4,12,10,1,0,0,0,45,81,61,51,32,28,13,2,5,204,0.397,13,3,0,No,No
Blaylock,P,RU,2014,5,17.02,0,3,10,2,0,0,0,0,15.1,35,29,29,10,8,7,3,7,77,0.455,1,4,1,No,No
Deal,P,RU,2014,5,7.34,3,5,13,8,2,0,0,0,41.2,54,48,34,26,27,12,5,9,174,0.310,2,1,1,No,No
DiPaola,P,RU,2014,5,7.75,0,2,10,6,1,0,0,0,36,52,43,31,11,14,11,5,5,157,0.331,1,4,2,No,No
Hemphill,P,RU,2014,5,6.51,3,1,19,2,0,0,0,1,27.2,37,26,20,19,22,7,4,2,115,0.322,3,2,0,No,No
Heyliger,P,RU,2014,5,10.12,3,1,16,1,0,0,0,1,16,34,22,18,8,10,5,0,1,77,0.442,3,2,0,No,No
Koch,P,RU,2014,5,8.56,2,1,9,1,0,0,1,0,13.2,17,14,13,7,6,3,0,0,55,0.309,1,3,0,No,No
Long,P,RU,2014,5,12.38,0,0,11,1,0,0,0,0,16,32,23,22,6,4,7,3,3,69,0.464,3,2,0,No,No
Picconi,P,RU,2014,5,13.5,1,1,12,1,0,0,0,0,16.2,42,30,25,9,7,5,0,2,87,0.483,0,5,1,No,No
Ross,P,RU,2014,5,4.58,2,3,14,2,0,0,1,1,35.1,43,24,18,7,14,9,2,4,145,0.297,2,2,0,No,No
Schwein,P,RU,2014,5,7.38,2,6,12,12,0,0,0,0,68.1,113,68,56,10,20,14,6,1,306,0.369,2,7,0,No,No
Thoutt,P,RU,2014,5,4.81,4,3,12,9,2,0,0,0,63.2,74,42,34,16,55,9,1,4,256,0.289,4,9,1,No,No
Anderson,P,RU ,2008,3,14.29 ,0,2 ,5,3 ,0 ,0,0 ,1 ,11.1 ,29 ,20 ,18 ,3 ,7 ,8 ,1 ,2 ,60 ,.483 ,1 ,2 ,0 ,No,No
Asnicar,P,RU ,2008,3,10.80 ,1,0 ,13,0 ,0 ,0,0 ,0 ,15.0 ,24 ,19 ,18 ,15 ,12 ,2 ,1 ,2 ,66 ,.364 ,7 ,5 ,0 ,No,No
Brym,P,RU ,2008,3,9.53 ,1,0 ,7,0 ,0 ,0,0 ,0 ,17.0 ,21 ,21 ,18 ,10 ,12 ,5 ,0 ,3 ,69 ,.304 ,6 ,2 ,0 ,No,No
Cafasso,P,RU ,2008,3,7.71 ,0,0 ,6,0 ,0 ,0,0 ,0 ,9.1 ,10 ,10 ,8 ,5 ,8 ,3 ,0 ,4 ,37 ,.270 ,2 ,3 ,0 ,No,No
Gallegos,P,RU ,2008,3,2.52 ,0,0 ,23,0 ,0 ,0,0 ,1 ,25.0 ,33 ,7 ,7 ,5 ,15 ,5 ,1 ,0 ,99 ,.333 ,3 ,3 ,0 ,No,No
McBeth,P,RU ,2008,3,10.98 ,2,1 ,13,0 ,0 ,0,0 ,1 ,41.0 ,63 ,56 ,50 ,21 ,36 ,11 ,1 ,6 ,181 ,.348 ,9 ,7 ,0 ,No,No
Rusley,P,RU ,2008,3,10.50 ,0,1 ,5,0 ,0 ,0,0 ,0 ,6.0 ,12 ,21 ,7 ,7 ,2 ,1 ,0 ,1 ,29 ,.414 ,1 ,2 ,3 ,No,No
Salvucci,P,RU ,2008,3,9.00 ,0,0 ,1,0 ,0 ,0,0 ,0 ,1.0 ,3 ,1 ,1 ,0 ,2 ,0 ,0 ,1 ,5 ,.600 ,0 ,0 ,0 ,No,No
Silva,P,RU ,2008,3,10.50 ,1,1 ,7,4 ,0 ,0,0 ,1 ,18.0 ,21 ,21 ,21 ,26 ,16 ,6 ,0 ,3 ,69 ,.304 ,9 ,6 ,1 ,No,No
Spencer,P,RU ,2008,3,0.00 ,0,0 ,1,0 ,0 ,0,0 ,0 ,0.0 ,2 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,2 ,1.000 ,0 ,0 ,1 ,No,No
Aronson,P,RU ,2011,5,3.98 ,2,1 ,18,0 ,0 ,0,0 ,2 ,20.1 ,19 ,10 ,9 ,9 ,16 ,2 ,1 ,0 ,74 ,.257 ,1 ,4 ,0 ,No,No
Brault,P,RU ,2011,5,6.05 ,3,7 ,11,11 ,3 ,1,0 ,0 ,64.0 ,87 ,59 ,43 ,27 ,54 ,14 ,4 ,5 ,268 ,.325 ,9 ,7 ,1 ,No,No
Falconi,P,RU ,2011,5,5.92 ,4,5 ,12,12 ,3 ,0,0 ,0 ,65.1 ,82 ,57 ,43 ,29 ,43 ,20 ,2 ,8 ,268 ,.306 ,8 ,8 ,0 ,No,No
Harms,P,RU ,2011,5,0.96 ,0,0 ,6,0 ,0 ,0,0 ,0 ,9.1 ,9 ,4 ,1 ,4 ,6 ,0 ,0 ,0 ,34 ,.265 ,0 ,2 ,0 ,No,No
Henderson,P,RU ,2011,5,5.15 ,7,4 ,13,13 ,6 ,1,0 ,0 ,99.2 ,121 ,66 ,57 ,22 ,62 ,18 ,5 ,7 ,395 ,.306 ,5 ,5 ,0 ,Yes,No
Landwehr,P,RU ,2011,5,0.00 ,0,0 ,2,0 ,0 ,0,0 ,0 ,2.0 ,3 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,9 ,.333 ,0 ,1 ,0 ,No,No
McElreath,P,RU ,2011,5,6.29 ,4,5 ,12,10 ,1 ,0,0 ,0 ,63.0 ,74 ,59 ,44 ,34 ,37 ,12 ,2 ,4 ,248 ,.298 ,6 ,18 ,3 ,No,No
Aronson,P,RU ,2012,4,4.26 ,2,1 ,25,0 ,0 ,0,0 ,7 ,38.0 ,41 ,25 ,18 ,18 ,31 ,4 ,0 ,1 ,150 ,.273 ,1 ,5 ,0 ,No,No
Harms,P,RU ,2012,4,2.49 ,8,2 ,14,8 ,2 ,2,0 ,0 ,68.2 ,65 ,22 ,19 ,22 ,48 ,9 ,1 ,4 ,264 ,.246 ,4 ,3 ,0 ,No,Yes
Henderson,P,RU ,2012,4,3.83 ,6,5 ,14,14 ,6 ,1,0 ,0 ,101.0 ,113 ,52 ,43 ,11 ,83 ,35 ,3 ,6 ,404 ,.280 ,4 ,6 ,0 ,Yes,No
Mack,P,RU ,2012,4,4.71 ,6,3 ,12,12 ,1 ,1,0 ,0 ,63.0 ,68 ,41 ,33 ,27 ,51 ,14 ,3 ,4 ,248 ,.274 ,9 ,6 ,2 ,No,No
McElreath,P,RU ,2012,4,3.24 ,9,4 ,14,14 ,7 ,1,0 ,0 ,94.1 ,91 ,45 ,34 ,40 ,70 ,11 ,2 ,3 ,345 ,.264 ,8 ,6 ,6 ,No,Yes
Mielnicki,P,RU ,2012,4,3.57 ,0,1 ,16,0 ,0 ,0,0 ,0 ,22.2 ,25 ,10 ,9 ,5 ,11 ,5 ,2 ,3 ,89 ,.281 ,2 ,4 ,1 ,No,No
Ross,P,RU ,2012,4,5.48 ,1,0 ,14,0 ,0 ,0,0 ,0 ,23.0 ,34 ,14 ,14 ,12 ,14 ,5 ,2 ,2 ,96 ,.354 ,4 ,2 ,0 ,No,No
Altmaier,P,UNK,2009,5,10.5,0,0,5,3,0,0,0,0,6,9,7,7,8,2,0,0,1,24,0.375,0,1,0,No,No
Behnke,P,UNK,2009,5,7.99,1,4,13,4,0,0,0,0,23.2,42,37,21,13,16,4,1,2,115,0.365,4,1,0,No,No
Bogan.,P,UNK,2009,5,3.54,1,3,15,0,0,0,1,1,20.1,24,13,8,4,12,1,1,0,80,0.300,3,3,1,No,No
Edson,P,UNK,2009,5,6.75,0,0,3,0,0,0,0,0,4,7,5,3,2,1,1,0,0,18,0.389,0,0,0,No,No
Hall,P,UNK,2009,5,7.06,1,4,16,2,0,0,1,2,29.1,35,26,23,18,19,5,1,4,118,0.297,1,6,0,No,No
Hiatt,P,UNK,2009,5,7.8,2,3,15,8,0,0,0,0,42.2,69,41,37,13,27,10,4,7,187,0.369,2,5,0,No,No
Hill,P,UNK,2009,5,7.99,1,2,13,2,0,0,0,0,23.2,38,29,21,12,19,6,0,2,109,0.349,4,6,0,No,No
Jacobitz,P,UNK,2009,5,8,0,0,9,0,0,0,0,0,9,15,12,8,5,8,4,0,2,43,0.349,2,2,0,No,No
Kresse,P,UNK,2009,5,10.93,1,4,9,3,0,0,0,0,14,27,28,17,11,12,5,1,3,70,0.386,5,4,1,No,No
Loschen,P,UNK,2009,5,4.66,6,5,14,13,7,1,1,0,83,95,57,43,26,75,16,0,4,334,0.284,9,13,0,No,No
Muir,P,UNK,2009,5,3.83,3,1,19,3,1,0,1,2,42.1,44,23,18,14,25,11,0,4,167,0.263,3,1,0,No,No
Nelson,P,UNK,2009,5,12.6,0,0,9,1,0,0,0,0,10,16,14,14,8,10,3,0,1,42,0.381,3,0,1,No,No
Seefus,P,UNK,2009,5,6.64,1,3,16,5,0,0,0,0,40.2,54,46,30,29,24,7,0,3,173,0.312,7,7,0,No,No
Sheldon,P,UNK,2009,5,4.76,9,4,14,14,5,0,1,0,102,114,61,54,23,105,22,3,16,404,0.282,5,3,2,Yes,No
Trulin,P,UNK,2009,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,No,No
Hall,P,UNK,2010,3,5.68,1,1,12,0,0,0,0,0,19,27,19,12,8,11,3,1,3,87,0.310,2,5,0,No,No
Kresse,P,UNK,2010,3,4.13,2,1,15,0,0,0,0,3,28.1,34,17,13,3,26,3,1,3,119,0.286,2,6,0,Yes,No
Loschen,P,UNK,2010,3,4.92,9,5,15,15,5,0,1,0,100.2,119,67,55,31,77,23,5,9,409,0.291,6,17,0,Yes,No
Metter,P,UNK,2010,3,4.19,4,5,15,11,0,0,0,0,81.2,102,56,38,19,46,12,1,4,336,0.304,7,21,2,No,No
Muir,P,UNK,2010,3,3.24,3,1,16,0,0,0,0,9,25,26,9,9,7,17,4,0,1,94,0.277,0,0,0,No,No
Nowak,P,UNK,2010,3,9,0,0,2,0,0,0,1,0,2,3,2,2,3,2,0,0,0,9,0.333,0,0,0,No,No
O'Conner,P,UNK,2010,3,6.9,7,4,14,13,2,0,1,0,60,67,50,46,29,51,11,0,6,242,0.277,6,12,3,No,No
Parker,P,UNK,2010,3,3.82,7,1,19,3,0,0,0,3,33,43,24,14,14,28,2,1,6,136,0.316,2,1,0,No,No
Ringblom,P,UNK,2010,3,2.25,0,0,1,1,0,0,0,0,4,3,4,1,6,1,0,0,0,16,0.188,1,0,0,No,No
Seefus,P,UNK,2010,3,3.86,0,0,12,0,0,0,2,1,14,13,7,6,2,10,3,0,0,57,0.228,1,2,0,No,No
Stachura,P,UNK,2010,3,5.6,3,5,13,13,3,0,0,0,72.1,103,68,45,23,36,17,1,8,312,0.330,7,9,0,No,No
Boganowski,P,UNK ,2008,4,7.56 ,2,3 ,21,4 ,0 ,0,0 ,0 ,50.0 ,77 ,50 ,42 ,13 ,25 ,15 ,0 ,7 ,224 ,.344 ,4 ,3 ,2 ,No,No
Ficenec,P,UNK ,2008,4,8.35 ,0,1 ,11,0 ,0 ,0,0 ,0 ,18.1 ,28 ,23 ,17 ,12 ,11 ,6 ,0 ,0 ,78 ,.359 ,8 ,4 ,0 ,No,No
Foster,P,UNK ,2008,4,3.78 ,2,2 ,20,0 ,0 ,0,0 ,2 ,33.1 ,33 ,18 ,14 ,13 ,23 ,6 ,1 ,3 ,131 ,.252 ,7 ,2 ,1 ,No,No
Hall,P,UNK ,2008,4,7.84 ,3,0 ,19,0 ,0 ,0,0 ,1 ,31.0 ,51 ,34 ,27 ,17 ,19 ,8 ,2 ,5 ,134 ,.381 ,3 ,1 ,0 ,No,No
Loschen,P,UNK ,2008,4,7.39 ,7,3 ,13,10 ,0 ,0,0 ,0 ,56.0 ,105 ,61 ,46 ,7 ,40 ,23 ,0 ,7 ,264 ,.398 ,2 ,9 ,0 ,No,No
Pickard,P,UNK ,2008,4,6.61 ,0,0 ,10,0 ,0 ,0,0 ,0 ,16.1 ,24 ,14 ,12 ,5 ,10 ,3 ,0 ,1 ,75 ,.320 ,0 ,2 ,1 ,No,No
Svoboda,P,UNK ,2008,4,11.54 ,3,4 ,14,14 ,0 ,0,0 ,0 ,46.0 ,58 ,66 ,59 ,48 ,17 ,11 ,0 ,8 ,186 ,.312 ,12 ,4 ,0 ,No,No
Birch,P,UNK ,2011,1,5.94 ,2,0 ,9,0 ,0 ,0,1 ,0 ,16.2 ,22 ,12 ,11 ,8 ,10 ,3 ,0 ,1 ,65 ,.338 ,3 ,1 ,0 ,No,No
Hiatt,P,UNK ,2011,1,0.00 ,0,0 ,1,0 ,0 ,0,1 ,0 ,1.0 ,2 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,5 ,.400 ,0 ,0 ,0 ,No,No
Kresse,P,UNK ,2011,1,3.25 ,6,2 ,32,0 ,0 ,0,0 ,10 ,52.2 ,59 ,28 ,19 ,11 ,44 ,10 ,0 ,2 ,210 ,.281 ,4 ,6 ,0 ,Yes,No
Loseke,P,UNK ,2011,1,4.90 ,8,2 ,21,6 ,1 ,0,0 ,0 ,68.0 ,90 ,47 ,37 ,17 ,45 ,16 ,1 ,6 ,274 ,.328 ,2 ,7 ,1 ,No,No
Metter,P,UNK ,2011,1,3.83 ,8,3 ,16,14 ,5 ,0,0 ,0 ,84.2 ,99 ,44 ,36 ,32 ,61 ,15 ,2 ,1 ,335 ,.296 ,6 ,9 ,0 ,No,Yes
Poulsen,P,UNK ,2011,1,5.40 ,0,0 ,1,0 ,0 ,0,0 ,0 ,1.2 ,3 ,1 ,1 ,2 ,1 ,0 ,0 ,0 ,7 ,.429 ,0 ,0 ,0 ,No,No
Ringblom,P,UNK ,2011,1,0.00 ,0,0 ,2,0 ,0 ,0,0 ,0 ,2.0 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,6 ,.000 ,0 ,0 ,0 ,No,No
Stachura,P,UNK ,2011,1,4.11 ,8,2 ,15,15 ,3 ,0,0 ,0 ,103.0 ,112 ,61 ,47 ,34 ,56 ,13 ,2 ,4 ,410 ,.273 ,9 ,5 ,0 ,Yes,No
Hahn,P,UNK ,2012,5,6.75 ,2,3 ,15,3 ,0 ,0,0 ,0 ,26.2 ,31 ,26 ,20 ,23 ,10 ,7 ,0 ,1 ,106 ,.292 ,8 ,2 ,0 ,No,No
Loseke,P,UNK ,2012,5,5.73 ,4,6 ,15,10 ,3 ,1,1 ,0 ,77.0 ,96 ,54 ,49 ,30 ,53 ,28 ,5 ,4 ,315 ,.305 ,1 ,4 ,1 ,No,Yes
Miller,P,UNK ,2012,5,6.75 ,1,0 ,6,0 ,0 ,0,0 ,1 ,5.1 ,8 ,5 ,4 ,5 ,0 ,2 ,0 ,0 ,22 ,.364 ,0 ,3 ,1,No,No
Nowak,P,UNK ,2012,5,6.19 ,0,1 ,5,4 ,0 ,0,0 ,0 ,16.0 ,24 ,20 ,11 ,8 ,10 ,1 ,1 ,2 ,72 ,.333 ,0 ,4 ,0 ,No,No
Peters,P,UNK ,2012,5,7.52 ,5,5 ,13,12 ,4 ,0,0 ,0 ,61.0 ,101 ,64 ,51 ,15 ,43 ,22 ,3 ,8 ,282 ,.358 ,7 ,13 ,0 ,No,No
Ridenour,P,UNK ,2012,5,7.27 ,2,10 ,14,13 ,1 ,0,0 ,0 ,64.1 ,86 ,69 ,52 ,30 ,50 ,19 ,1 ,5 ,274 ,.314 ,4 ,8 ,8 ,No,No
