Player ,Position,Team,Year,ConfStanding,era ,w,l ,app,gs ,cg ,isho ,csho,sv ,ip ,h ,r ,er ,bb ,so ,2b ,3b ,hr ,ab ,bavg ,wp ,hbp ,bk ,Award
Harrison,P,NMHU,2014,2,5.5,7,2,15,13,1,0,0,0,93.1,126,65,57,25,55,20,1,7,383,0.329,13,7,0,2
Ruff,P,NMHU,2014,2,8.26,1,6,22,4,0,0,0,9,40.1,57,44,37,21,34,15,0,1,172,0.331,1,9,0,2
Valerio,P,CSM ,2016,2,5.83,6,0,12,10,0,0,0,0,58.2,81,39,38,20,29,14,3,6,236,0.343,2,2,0,2
Fronczak,P,CMU,2009,1,6.25,8,1,14,13,1,0,1,0,59,69,42,41,30,45,21,1,7,230,0.3,5,6,1,2
Schuler,P,CSM ,2008,5,9.27,4,2,25,1,0,0,0,7,33,55,41,34,30,26,13,1,3,140,0.393,4,2,1,2
Ruff,P,NMHU,2014,2,8.26,1,6,22,4,0,0,0,9,40.1,57,44,37,21,34,15,0,1,172,0.331,1,9,0,2
Loseke,P,UNK ,2012,5,5.73,4,6,15,10,3,1,1,0,77,96,54,49,30,53,28,5,4,315,0.305,1,4,1,2
Lalk,P,MSUD ,2015,3,3.12,4,1,15,11,2,1,1,1,92.1,84,35,32,22,89,10,1,6,346,0.243,2,3,1,2
Loseke,P,UNK ,2012,5,5.73,4,6,15,10,3,1,1,0,77,96,54,49,30,53,28,5,4,315,0.305,1,4,1,2
Cardinale,P,CMU ,2015,1,4.8,4,3,14,13,1,0,1,0,65.2,63,42,35,41,79,13,0,1,252,0.25,9,5,1,2
Perry,P,MSUD ,2011,3,3.93,7,3,12,12,4,1,0,0,73.1,86,50,32,33,52,10,0,6,291,0.296,4,17,0,2
Garcia,P,ASU ,2016,4,5.38,7,3,16,11,4,1,0,2,78.2,107,60,47,20,66,17,2,7,328,0.326,2,7,4,2
Rogers,P,CSM,2010,7,5.53,1,5,10,9,2,0,0,0,55.1,70,42,34,9,37,14,0,11,227,0.308,4,3,1,2
Butch,P,CMU ,2008,1,6.52,6,0,16,10,0,0,0,1,49.2,66,49,36,20,29,12,1,6,211,0.313,4,9,1,2
Lalk,P,MSUD ,2015,3,3.12,4,1,15,11,2,1,1,1,92.1,84,35,32,22,89,10,1,6,346,0.243,2,3,1,2
Perry,P,MSUD ,2011,3,3.93,7,3,12,12,4,1,0,0,73.1,86,50,32,33,52,10,0,6,291,0.296,4,17,0,2
Davis,P,CMU,2010,2,5.16,7,1,12,11,2,0,0,0,68,90,43,39,22,37,10,0,14,283,0.318,3,7,0,2
Harrison,P,NMHU,2014,2,5.5,7,2,15,13,1,0,0,0,93.1,126,65,57,25,55,20,1,7,383,0.329,13,7,0,2
Garcia,P,ASU ,2016,4,5.38,7,3,16,11,4,1,0,2,78.2,107,60,47,20,66,17,2,7,328,0.326,2,7,4,2
Cardinale,P,CMU ,2015,1,4.8,4,3,14,13,1,0,1,0,65.2,63,42,35,41,79,13,0,1,252,0.25,9,5,1,2
Garcia,P,ASU ,2016,4,5.38,7,3,16,11,4,1,0,2,78.2,107,60,47,20,66,17,2,7,328,0.326,2,7,4,2
Gotsis,P,RU ,2017,6,4.1,6,5,14,14,1,1,0,0,90,95,46,41,16,74,15,2,5,287,0.273,8,5,2,2
Casas,P,MSUD ,2008,2,6.48,7,1,14,14,1,0,0,0,75,100,60,54,35,75,24,2,2,314,0.318,9,8,1,2
Heibult,P,RU ,2015,7,4.81,7,3,12,11,3,0,0,0,63.2,71,39,34,26,50,15,3,1,250,0.284,5,4,7,2
Hernandez,P,CSUP,2009,3,6.47,3,4,32,3,1,0,1,7,64,74,55,46,38,67,21,1,4,257,0.288,15,7,0,2
Romero,P,NMHU,2009,2,5.66,8,2,15,15,6,1,1,0,90.2,114,67,57,24,89,22,7,6,373,0.306,2,3,1,2
Hernandez,P,CSUP,2009,3,6.47,3,4,32,3,1,0,1,7,64,74,55,46,38,67,21,1,4,257,0.288,15,7,0,2
Evins,P,NMHU ,2011,6,5.62,4,7,13,13,1,0,0,0,81.2,99,61,51,38,72,17,3,6,332,0.298,3,5,0,2
Gojan,P,MSUD,2013,6,3.83,4,5,13,12,2,0,1,0,84.2,87,48,36,25,36,15,1,0,319,0.273,6,12,1,2
Snell,P,CMU,2013,1,2.89,7,1,14,14,0,0,1,0,84,74,42,27,46,94,8,1,2,313,0.236,7,9,5,2
Loseke,P,UNK ,2012,5,5.73,4,6,15,10,3,1,1,0,77,96,54,49,30,53,28,5,4,315,0.305,1,4,1,2
Davis,P,CMU,2014,1,3.29,7,1,14,14,0,0,0,0,82,86,37,30,24,45,12,2,1,311,0.277,2,7,0,2
Harrison,P,NMHU,2014,2,5.5,7,2,15,13,1,0,0,0,93.1,126,65,57,25,55,20,1,7,383,0.329,13,7,0,2
Struble,P,CSUP,2013,2,3.48,9,4,16,16,4,1,1,0,101,94,47,39,32,78,18,6,3,372,0.253,1,8,0,2
Gilman,P,CSM,2013,5,4.19,5,6,13,13,2,1,1,0,73,88,39,34,25,66,17,1,1,289,0.304,7,3,2,2
Davis,P,CMU,2010,2,5.16,7,1,12,11,2,0,0,0,68,90,43,39,22,37,10,0,14,283,0.318,3,7,0,2
Snell,P,CMU,2013,1,2.89,7,1,14,14,0,0,1,0,84,74,42,27,46,94,8,1,2,313,0.236,7,9,5,2
Stephens,P,CSUP,2010,5,5.33,4,4,13,7,3,0,1,2,50.2,65,35,30,19,33,14,2,5,205,0.317,4,8,0,2
Struble,P,CSUP,2013,2,3.48,9,4,16,16,4,1,1,0,101,94,47,39,32,78,18,6,3,372,0.253,1,8,0,2
Struble,P,CSUP,2013,2,3.48,9,4,16,16,4,1,1,0,101,94,47,39,32,78,18,6,3,372,0.253,1,8,0,2
