Player ,Position,Team,Year,ConfStanding,era ,w,l ,app,gs ,cg ,isho ,csho,sv ,ip ,h ,r ,er ,bb ,so ,2b ,3b ,hr ,ab ,bavg ,wp ,hbp ,bk ,Award
Ehlers,P,CMU ,2015,1,3.32,6,1,21,8,0,0,4,3,65,73,17,17,17,71,6,0,2,174,0.21,2,4,1,1
Day,P,CMU ,2017,1,2.64,8,3,23,12,0,0,4,3,58,42,33,17,43,71,6,2,2,314,0.271,14,4,1,1
Leahy,P,CMU ,2017,1,1.41,11,0,17,15,4,2,1,0,108.2,99,22,17,13,96,11,4,5,343,0.277,4,6,0,1
Ehlers,P,CMU ,2017,1,1.41,8,1,17,8,0,2,2,1,108.2,73,22,17,13,96,12,0,5,343,0.285,4,6,0,1
Williams,P,CMU ,2013,1,2.23,9,0,15,15,4,2,1,1,97,85,22,24,13,96,8,2,3,348,0.218,7,6,0,1
Leahy,P,CMU ,2017,1,1.41,8,0,21,8,4,2,2,3,65,73,22,17,13,96,10,2,5,256,0.253,4,4,0,1
Leahy,P,CMU ,2016,1,1.41,4,1,20,2,0,0,1,5,108.2,30,22,17,13,96,4,2,2,155,0.253,4,6,1,1
Reno,P,CMU ,2015,1,1.41,11,0,15,15,4,2,1,1,108.2,99,22,32,9,96,10,2,5,358,0.253,1,3,0,1
Ehlers,P,CMU ,2015,1,3.12,8,1,21,8,1,0,2,0,83.2,66,32,24,32,45,11,0,2,256,0.25,4,8,0,1
Williams,P,CMU,2017,1,2.23,9,1,15,14,1,2,1,0,83.2,66,32,29,23,108,8,0,2,348,0.218,6,10,0,1
McDermott,P,CMU,2017,1,3.12,9,1,15,15,7,0,1,0,97,66,28,29,32,83,11,0,2,348,0.218,6,8,0,1
Carma,P,CMU ,2008,1,3.12,8,1,16,14,1,0,0,0,83,66,32,30,32,108,6,1,2,314,0.271,14,8,2,1
Ehlers,P,CMU ,2016,1,3.12,8,1,20,14,0,0,1,5,43,66,32,14,23,37,4,1,2,297,0.25,6,2,1,1
McDermott,P,CMU ,2017,1,3.12,4,1,20,14,0,0,3,0,83.2,30,32,14,23,108,11,0,2,297,0.25,6,2,2,1
Williams,P,CMU,2015,6,2.23,5,1,15,15,7,2,1,0,97,76,40,26,25,54,8,0,3,348,0.285,7,5,0,1
Olinger,P,CSM ,2008,6,3.25,5,5,13,10,5,0,1,0,83,85,33,26,25,78,17,2,2,242,0.285,5,8,0,1
Olinger,P,CSM ,2016,1,2.93,5,5,10,10,0,0,1,5,43,30,19,26,25,54,17,0,4,155,0.285,5,2,0,1
Carma,P,CSM ,2015,1,3.71,8,5,13,10,5,0,0,0,83,85,33,30,25,78,17,0,4,314,0.285,5,5,0,1
Olinger,P,CMU,2015,6,2.23,5,5,10,10,7,0,1,0,97,69,40,26,25,83,8,0,4,348,0.285,5,5,0,1
Ehlers,P,CSM ,2016,6,2.93,5,1,20,2,0,0,1,0,63,69,40,26,25,37,4,0,2,155,0.194,5,2,0,1
Olinger,P,CSM ,2016,1,2.93,7,2,20,8,0,0,0,1,47.2,59,19,19,23,39,4,0,2,195,0.194,2,2,1,1
Olinger,P,CSM ,2016,1,2.93,7,1,20,2,0,0,0,5,47.2,59,19,19,15,37,10,0,2,195,0.194,1,2,0,1
Olinger,P,CMU ,2016,1,2.93,7,1,12,8,0,0,0,1,47.2,59,25,14,23,37,10,1,2,195,0.194,2,4,1,1
Williams,P,CMU,2016,1,2.23,9,2,12,15,7,2,0,1,97,59,28,24,15,39,10,0,3,195,0.303,2,10,0,1
Ehlers,P,CMU ,2016,1,3.32,7,1,12,8,2,0,0,3,47.2,73,25,19,15,39,12,1,3,195,0.303,2,4,0,1
Olinger,P,CSM ,2016,1,2.93,7,2,20,2,0,0,0,5,47.2,59,19,14,23,37,4,1,2,155,0.303,1,4,0,1
Carma,P,CMU ,2008,1,3.12,7,3,15,15,3,0,0,0,83,94,33,31,43,78,6,3,2,314,0.268,14,8,0,1
Reno,P,CSUP ,2015,2,3.12,7,2,15,15,4,2,2,0,91.1,99,40,31,23,64,14,3,5,351,0.268,5,10,0,1
Wittmus,P,CSUP ,2015,1,3.15,11,2,15,15,4,2,2,0,89.1,94,40,32,23,79,11,4,5,358,0.268,5,10,0,1
Ehlers,P,CMU ,2016,2,3.12,4,2,20,15,1,0,0,0,89.1,30,19,14,23,37,14,3,2,155,0.194,5,2,1,1
Carma,P,CMU ,2015,2,3.12,8,3,13,12,3,0,0,0,89.1,85,40,31,23,78,14,3,2,314,0.268,5,8,0,1
Wittmus,P,CSUP ,2008,2,3.25,7,3,13,12,3,0,0,0,83,94,33,31,43,78,14,3,2,351,0.271,5,10,0,1
Lazcano,P,CMU ,2017,4,3.25,8,3,14,12,3,0,0,0,93.1,85,50,33,29,97,14,2,6,319,0.271,14,8,0,1
Lazcano,P,CMU ,2017,1,3.25,8,3,13,14,3,1,0,0,93.1,84,50,33,43,78,6,1,2,319,0.271,4,6,0,1
Lazcano,P,CMU ,2015,1,3.32,6,1,14,14,3,1,0,0,65,84,34,33,29,97,12,1,1,256,0.268,4,4,0,1
Lazcano,P,CMU ,2015,4,3.32,6,1,14,8,3,1,2,0,93.1,84,50,24,17,45,14,1,6,319,0.285,4,4,2,1
Lazcano,P,CMU ,2017,4,3.25,6,3,13,12,3,1,0,0,93.1,84,33,33,29,78,6,2,6,314,0.268,4,6,2,1
Ehlers,P,CSUP ,2016,4,3.18,6,1,20,14,3,1,3,5,93.1,30,19,14,23,37,14,0,2,155,0.268,4,2,1,1
Green,P,MSUD ,2015,1,3.15,11,2,13,15,4,2,2,0,91.1,77,68,32,53,67,11,4,5,297,0.277,1,9,0,1
Green,P,MSUD ,2008,1,2.23,9,2,15,13,7,0,0,0,77.1,76,28,24,53,83,8,1,3,348,0.259,7,10,0,1
Green,P,MSUD ,2008,2,7.1,9,1,13,15,7,0,0,0,97,76,68,61,53,67,8,0,14,348,0.218,7,10,0,1
Green,P,MSUD ,2013,1,2.23,9,2,15,13,1,0,0,0,97,76,68,61,23,83,11,0,3,297,0.218,5,10,0,1
Williams,P,CMU,2013,1,2.23,9,2,13,15,7,2,1,0,97,77,68,24,23,67,8,0,14,348,0.259,5,10,0,1
Green,P,CMU,2008,2,7.1,9,1,13,15,7,2,0,0,77.1,76,28,24,23,67,11,1,3,348,0.259,5,9,0,1
Carma,P,MSUD ,2015,3,3.25,9,3,24,2,3,0,0,0,55.1,63,26,30,43,78,8,2,3,314,0.3,2,8,1,1
Reno,P,MSUD ,2015,3,3.25,9,3,15,15,0,0,2,2,91.1,99,44,32,11,51,11,4,5,210,0.277,2,3,0,1
Williams,P,CMU,2013,1,3.25,9,3,24,15,0,0,0,0,55.1,76,28,24,11,83,8,1,3,348,0.218,7,3,0,1
Reno,P,CMU ,2015,3,3.15,9,3,15,2,0,2,0,2,55.1,99,26,20,9,64,8,4,5,210,0.3,2,3,1,1
Baca,P,MSUD ,2016,1,3.25,4,1,24,2,0,0,0,5,55.1,30,26,20,23,51,4,0,3,155,0.194,2,2,1,1
Baca,P,MSUD ,2015,1,3.25,8,3,24,12,3,0,0,2,83,85,33,30,11,51,6,1,2,210,0.3,14,3,1,1
Reno,P,MSUD ,2015,1,2.9,5,7,15,15,4,1,2,0,91.1,76,44,32,9,95,11,3,6,311,0.277,1,3,0,1
Garcia,P,CMU ,2016,5,2.9,4,7,20,2,2,1,3,0,83.2,76,19,27,23,95,13,3,2,155,0.194,7,5,1,1
Carma,P,CMU ,2016,5,3.25,8,3,12,12,2,0,0,0,83.2,85,33,27,29,95,6,3,2,314,0.271,7,5,0,1
Ehlers,P,CMU ,2016,1,2.9,5,1,12,12,2,0,2,0,83.2,76,40,24,17,45,13,0,1,256,0.244,7,4,0,1
Garcia,P,CMU,2016,5,2.23,9,7,15,15,2,1,1,0,97,76,40,27,23,83,13,0,6,348,0.218,7,5,0,1
Garcia,P,MSUD ,2015,5,2.9,5,7,12,15,2,1,0,0,83.2,99,44,32,29,95,11,4,5,311,0.244,1,3,0,1
Williams,P,CMU,2013,3,3.27,9,2,18,15,2,2,1,5,66,67,28,24,23,83,9,1,3,348,0.218,7,4,0,1
Almeida,P,NMHU,2016,3,3.27,6,1,20,8,0,0,3,5,66,30,19,14,23,73,9,1,1,254,0.264,1,4,2,1
Almeida,P,NMHU,2015,1,3.32,6,1,21,8,2,0,2,3,65,67,28,24,17,73,9,1,1,254,0.264,4,4,0,1
Ehlers,P,CMU ,2013,3,3.32,8,1,18,8,0,0,1,3,66,67,34,24,23,73,9,1,1,254,0.285,4,4,0,1
Almeida,P,CMU,2013,1,2.23,9,2,18,8,2,0,1,0,97,76,28,24,23,73,8,1,3,254,0.218,6,10,0,1
Carma,P,NMHU,2013,1,3.25,6,3,18,12,2,0,1,5,83,85,28,24,23,73,9,2,1,254,0.264,6,4,2,1
Brault,P,CMU ,2008,1,2.63,8,3,13,11,3,0,1,0,78.2,85,25,30,43,103,10,2,2,286,0.271,2,8,0,1
Brault,P,CMU,2013,1,2.63,9,3,15,15,7,1,1,0,78.2,69,25,23,23,103,10,0,3,286,0.241,2,10,0,1
Brault,P,RU,2013,4,2.23,9,1,15,11,3,2,1,0,97,69,25,23,23,83,10,0,3,348,0.218,2,9,0,1
Ehlers,P,CMU ,2015,1,2.63,8,1,21,8,0,0,2,3,65,69,25,24,17,103,10,0,3,256,0.241,2,4,0,1
Brault,P,CMU ,2008,1,2.63,8,3,13,12,3,0,0,0,78.2,69,25,30,43,103,6,2,2,286,0.271,2,8,0,1
Brault,P,CMU ,2013,4,2.63,8,1,11,2,3,1,3,5,43,69,19,23,23,103,4,0,3,155,0.241,1,9,0,1
Ehlers,P,RU,2013,4,2.45,10,1,12,2,7,0,3,5,73.1,30,30,14,23,37,10,0,2,155,0.307,3,2,1,1
Schwein,P,CMU ,2008,4,2.45,10,1,13,12,7,0,0,0,73.1,91,30,30,15,32,6,0,2,314,0.307,14,8,0,1
Reno,P,RU,2013,4,3.15,10,1,15,10,4,1,1,0,91.1,91,30,32,9,64,10,0,3,358,0.307,1,3,0,1
Williams,P,CMU,2013,1,2.45,10,1,15,15,7,1,1,0,73.1,76,30,24,23,32,8,0,3,296,0.307,3,4,0,1
Williams,P,CMU,2013,4,2.23,10,1,12,10,7,1,1,0,73.1,76,28,20,23,32,8,0,3,296,0.307,3,4,0,1
Reno,P,CMU ,2015,1,3.15,10,1,15,15,4,2,2,0,91.1,99,30,32,9,32,10,4,5,296,0.307,3,3,0,1
Reno,P,RU ,2017,6,3.15,3,2,15,0,0,0,0,0,91.1,37,44,32,9,64,11,4,5,358,0.277,1,4,0,1
Kenny,P,RU ,2017,6,3.25,3,3,22,0,3,0,0,7,41.1,37,17,13,43,78,6,2,2,136,0.258,3,8,0,1
Ehlers,P,RU ,2015,6,2.83,3,3,22,8,0,0,2,3,41.1,73,34,24,10,45,6,0,2,256,0.258,4,4,0,1
Reno,P,RU ,2015,6,2.83,3,2,22,0,4,2,0,7,91.1,37,17,13,9,53,6,0,2,358,0.258,3,4,0,1
Ehlers,P,RU ,2016,1,2.93,4,1,22,0,0,0,0,5,41.1,30,17,14,10,53,4,0,2,136,0.194,3,2,0,1
Williams,P,RU ,2013,1,2.83,9,1,15,0,7,0,0,0,41.1,37,17,13,23,83,6,0,3,136,0.258,7,10,0,1
Reno,P,UCCS ,2017,1,3.32,1,2,19,15,4,2,0,8,21.2,25,14,32,8,17,4,0,1,99,0.275,1,3,0,1
Slocum,P,UCCS ,2017,1,3.32,4,4,19,0,0,0,3,8,43,25,14,8,23,37,4,0,1,155,0.275,1,3,0,1
Slocum,P,UCCS ,2016,5,2.93,1,4,19,2,0,0,3,5,21.2,25,19,14,8,17,4,0,1,155,0.194,1,3,0,1
Slocum,P,UCCS ,2015,5,3.32,1,4,19,0,0,0,2,3,21.2,73,34,24,8,45,4,0,1,256,0.285,2,3,0,1
Slocum,P,UCCS ,2017,5,3.25,8,4,13,0,3,0,0,8,83,25,14,8,43,78,6,2,1,99,0.271,14,3,0,1
Slocum,P,CMU ,2015,5,3.32,1,4,19,8,0,0,0,3,21.2,73,14,24,8,17,4,0,1,256,0.275,4,4,0,1
Sheldon,P,CMU ,2008,4,5.08,7,3,12,11,4,0,0,0,83,85,49,45,43,78,11,2,6,314,0.271,14,5,2,1
Carma,P,CMU ,2008,4,3.25,8,3,13,11,3,0,0,0,79.2,85,33,45,16,78,11,2,6,314,0.271,14,5,0,1
Sheldon,P,CMU ,2008,4,5.08,7,2,15,15,4,2,2,0,91.1,83,44,45,9,82,11,3,6,314,0.277,9,3,0,1
Sheldon,P,UNK ,2008,1,3.25,8,3,12,11,3,0,0,0,79.2,85,33,30,43,78,6,2,2,314,0.271,14,8,0,1
Williams,P,UNK ,2008,1,5.08,7,1,12,15,4,0,0,0,79.2,83,28,24,16,83,11,3,6,348,0.264,7,10,0,1
Sheldon,P,CMU ,2015,4,3.15,11,2,12,15,4,0,0,0,91.1,83,44,32,16,64,11,4,6,314,0.277,1,5,2,1
Guinn,P,CMU,2016,1,1.4,4,1,29,0,0,0,1,9,43,30,19,14,10,39,4,0,2,145,0.241,1,1,0,1
Carma,P,CMU ,2008,1,1.4,5,3,13,0,3,0,0,0,38.2,35,12,30,10,39,6,2,4,145,0.241,1,1,0,1
Guinn,P,CMU,2009,1,1.4,8,1,29,0,0,0,1,3,65,35,34,6,10,45,12,0,4,145,0.285,4,4,0,1
Guinn,P,CMU ,2009,1,1.4,5,2,29,0,0,0,1,9,38.2,99,12,32,9,39,3,4,5,145,0.241,1,3,0,1
Reno,P,CMU ,2015,1,3.15,5,2,15,15,0,2,2,0,38.2,99,12,6,10,64,3,4,4,145,0.241,1,3,0,1
Ehlers,P,CMU,2016,1,1.4,4,2,20,2,0,0,1,9,43,30,19,14,23,37,3,0,2,155,0.241,1,2,1,1
Reno,P,CMU,2009,1,3.15,11,1,16,9,2,1,1,0,91.1,77,44,32,9,66,16,2,5,358,0.261,1,10,0,1
Ehlers,P,CMU ,2009,1,3.32,8,1,21,9,0,1,2,3,75,73,39,30,17,66,16,0,1,295,0.285,4,10,0,1
Lamaster,P,CMU ,2015,1,3.6,7,1,21,8,2,0,2,0,65,77,39,30,27,45,16,0,7,256,0.285,4,10,0,1
Lamaster,P,CMU ,2008,1,3.6,7,3,16,9,2,0,1,0,83,77,39,30,27,78,16,2,7,314,0.261,14,8,0,1
Lamaster,P,CMU ,2015,1,3.6,8,1,21,8,2,1,1,3,65,77,39,30,27,66,16,0,1,295,0.285,4,4,0,1
Ehlers,P,CMU,2009,1,3.6,7,1,16,9,2,0,2,3,75,77,39,24,27,66,16,2,7,295,0.285,4,4,0,1
Reno,P,CMU,2010,2,3.15,8,3,15,15,5,2,2,0,91.1,99,44,32,32,64,11,4,11,304,0.266,7,3,1,1
Williams,P,CMU,2010,1,5.35,9,3,15,14,5,2,1,0,97,76,28,47,32,83,15,0,11,304,0.266,7,10,1,1
Ehlers,P,CMU,2010,2,5.35,8,1,15,8,0,0,2,3,79,73,52,24,32,66,15,0,1,304,0.266,4,6,0,1
Shea,P,CMU,2016,2,5.35,8,3,15,14,5,0,1,0,43,81,19,47,32,37,4,0,11,304,0.266,1,6,1,1
Williams,P,CMU,2010,1,2.23,8,1,15,15,7,2,1,0,79,76,52,47,32,83,15,0,11,304,0.266,7,10,1,1
Ehlers,P,CMU,2010,2,5.35,8,3,21,14,0,0,1,3,65,81,34,47,32,66,12,0,1,256,0.285,7,4,0,1
Carma,P,CMU,2014,1,3.25,8,2,13,4,0,0,0,0,83,85,23,30,14,43,6,2,1,314,0.271,4,8,0,1
Allen,P,CMU,2014,1,2.98,7,2,17,15,4,2,1,0,60.1,99,23,20,9,64,11,0,5,226,0.277,1,7,0,1
Allen,P,CMU,2014,1,3.15,11,2,15,4,0,2,1,4,60.1,99,23,20,14,64,10,0,1,358,0.257,1,7,0,1
Carma,P,CMU ,2008,1,3.25,7,2,13,12,3,0,1,0,83,58,33,20,14,78,10,2,2,314,0.257,4,8,0,1
Reno,P,CMU ,2015,1,2.98,11,2,17,15,4,0,1,0,91.1,58,23,32,14,64,11,4,5,358,0.277,4,7,0,1
Allen,P,CMU,2013,1,2.23,9,2,15,15,0,2,1,0,97,58,28,20,14,83,8,0,3,226,0.257,7,10,0,1
Williams,P,CMU,2014,1,3.06,6,1,15,12,7,1,2,0,64.2,76,28,24,12,83,8,5,3,242,0.24,2,1,0,1
Danner,P,CMU ,2014,1,3.32,8,1,21,12,0,1,2,3,64.2,58,34,22,17,36,12,0,1,256,0.24,2,4,0,1
Danner,P,CMU ,2008,1,3.06,8,2,13,12,2,1,0,0,83,85,26,22,12,36,6,2,2,242,0.24,2,8,0,1
Danner,P,CMU,2013,1,3.06,9,1,15,15,7,1,1,0,64.2,58,26,24,23,36,8,0,1,348,0.24,7,1,0,1
Carma,P,CMU,2008,1,3.06,6,3,12,12,2,0,0,0,83,85,26,30,12,36,11,2,1,314,0.271,14,8,0,1
Ehlers,P,CMU ,2015,1,3.06,8,2,21,8,2,1,2,0,65,73,34,24,12,36,12,0,1,242,0.285,4,4,0,1
Delay,P,CMU ,2015,1,3.15,8,1,15,13,1,1,2,0,91.1,99,43,36,9,64,15,4,5,358,0.271,1,2,1,1
Delay,P,CMU,2015,1,3.15,8,1,15,13,1,1,2,0,90.2,96,44,32,25,56,15,2,5,358,0.271,1,3,0,1
Ehlers,P,CMU ,2016,1,2.93,8,1,20,13,1,0,1,5,43,96,19,36,23,56,15,0,8,354,0.194,1,2,1,1
Ehlers,P,CMU ,2014,1,2.93,4,1,20,13,1,0,1,0,90.2,96,43,36,23,37,4,0,8,155,0.271,5,2,1,1
Ehlers,P,CMU ,2014,1,2.93,4,1,15,2,1,1,1,0,90.2,30,43,36,25,37,4,2,2,155,0.271,5,2,1,1
Delay,P,CMU,2014,1,3.57,9,1,15,15,7,1,1,0,97,76,28,36,25,83,15,2,8,348,0.271,7,10,1,1
Christensen,P,CMU ,2011,2,3.15,11,4,15,12,4,2,0,1,91.1,99,44,29,17,59,11,1,5,317,0.277,1,3,1,1
Ehlers,P,CMU ,2011,2,3.09,7,1,21,12,5,0,2,1,84.1,85,34,29,17,45,12,1,7,317,0.285,1,4,0,1
Reno,P,CMU ,2015,2,3.09,11,2,15,12,5,2,2,0,91.1,99,44,32,17,59,14,4,5,358,0.268,1,2,0,1
Christensen,P,CMU ,2008,2,3.09,7,3,15,12,3,1,0,1,84.1,85,36,30,17,78,14,2,7,317,0.271,14,2,1,1
Christensen,P,CMU ,2013,2,3.09,9,1,15,15,7,2,0,0,84.1,85,28,24,17,59,14,0,7,317,0.268,1,10,0,1
Williams,P,CMU,2013,1,2.23,9,1,15,12,5,1,1,1,84.1,76,28,24,23,59,14,1,7,348,0.268,7,2,0,1
Carma,P,CMU ,2008,1,3.25,8,3,15,14,2,0,0,0,92,70,33,30,43,78,6,2,2,330,0.212,14,15,0,1
Ehlers,P,CMU ,2015,1,3.52,8,4,21,8,0,0,1,3,65,73,34,24,62,108,12,2,3,330,0.212,4,4,0,1
Williams,P,CMU,2013,2,3.52,9,1,15,15,2,0,1,0,92,76,28,24,62,83,12,0,3,330,0.218,7,15,0,1
Snell,P,CMU ,2013,1,2.23,7,1,15,14,7,2,1,0,97,70,47,36,62,108,12,0,3,348,0.218,7,15,0,1
Snell,P,CMU ,2011,2,3.52,7,4,15,15,7,0,1,0,97,76,28,24,62,83,12,2,3,330,0.212,7,15,0,1
Snell,P,CMU ,2011,1,3.32,7,4,15,8,2,0,2,3,92,73,47,36,17,108,12,0,3,330,0.212,4,15,0,1
Carma,P,CMU ,2012,1,1.4,8,3,13,12,3,0,0,0,19.1,85,4,30,43,20,4,0,0,75,0.267,14,1,1,1
Reno,P,CMU ,2015,1,1.4,11,0,15,0,4,0,2,8,19.1,20,44,32,9,64,11,4,0,75,0.267,2,3,1,1
Williams,P,CMU,2012,1,1.4,9,0,15,0,0,0,1,0,97,76,4,3,7,20,8,0,3,348,0.218,2,1,0,1
Benham,P,CMU ,2015,1,3.32,1,1,17,0,0,0,0,8,19.1,73,4,3,17,20,12,0,1,75,0.267,4,1,0,1
Benham,P,CMU ,2016,1,1.4,1,1,17,0,0,0,0,8,19.1,30,4,3,7,20,4,0,0,155,0.194,1,2,1,1
Benham,P,CMU ,2008,1,1.4,8,3,17,0,3,0,0,8,83,20,33,3,7,78,6,0,2,314,0.267,2,8,0,1
Carma,P,CMU ,2012,1,3.49,12,3,13,14,4,1,2,0,90.1,85,33,30,43,61,6,2,2,335,0.263,14,5,0,1
Christensen,P,CMU ,2012,1,3.49,12,3,15,15,4,2,2,0,91.1,88,38,32,9,64,11,2,6,358,0.263,0,3,3,1
Williams,P,CMU ,2012,1,2.23,12,1,15,15,7,1,1,0,97,88,28,24,23,83,8,2,3,348,0.263,7,10,3,1
Ehlers,P,CMU ,2012,1,2.93,12,3,20,2,0,1,3,5,43,30,38,14,14,37,4,2,6,155,0.263,1,5,1,1
Williams,P,CMU,2012,1,2.23,12,3,15,15,7,1,2,0,97,88,38,35,23,61,8,0,3,348,0.263,0,10,3,1
Reno,P,CMU ,2015,1,3.15,11,3,15,14,4,1,2,0,90.1,88,38,32,14,64,11,2,5,335,0.263,0,5,0,1
Snell,P,CMU ,2012,1,4.46,9,3,13,14,2,0,0,0,82.2,85,53,41,43,78,6,1,2,314,0.271,8,8,1,1
Ehlers,P,CMU ,2012,1,2.93,9,1,20,2,2,0,3,0,82.2,81,53,14,47,37,4,0,3,155,0.252,1,2,1,1
Snell,P,CMU ,2012,1,2.23,9,1,15,15,7,1,1,0,97,81,53,41,47,105,11,0,3,348,0.252,8,13,1,1
Ehlers,P,CMU ,2012,1,3.32,8,1,21,14,0,1,1,0,82.2,81,53,24,47,105,11,0,1,256,0.252,8,13,0,1
Ehlers,P,CMU ,2015,1,3.32,9,1,14,8,2,0,1,0,82.2,73,53,24,47,105,12,1,1,321,0.285,8,13,1,1
Ehlers,P,CMU ,2012,1,4.46,8,1,21,8,0,1,2,0,82.2,81,34,41,17,105,12,0,3,321,0.252,4,4,0,1
Olinger,P,CMU ,2014,4,3.6,11,4,13,10,4,2,0,0,65,99,44,32,9,64,11,4,5,246,0.272,2,4,0,1
Ehlers,P,CSM,2014,4,3.6,4,4,20,2,4,0,3,5,65,30,33,14,23,41,4,0,2,155,0.194,1,2,0,1
Olinger,P,CMU,2013,4,2.23,6,1,13,10,7,2,0,0,97,76,33,26,13,83,8,0,3,246,0.218,2,4,0,1
Ehlers,P,CSM,2016,4,3.6,6,4,20,10,0,0,3,1,65,67,33,26,23,37,4,0,10,155,0.194,1,4,0,1
Ehlers,P,CSM,2016,1,2.93,6,4,20,2,0,0,0,5,65,67,33,14,13,41,11,0,2,246,0.194,1,2,1,1
Olinger,P,CSM,2014,4,3.6,6,4,13,10,4,0,0,0,65,67,33,30,13,78,6,2,2,246,0.272,2,4,0,1
Carma,P,CMU ,2008,1,5.47,8,3,18,15,3,0,0,0,97,85,74,59,51,76,14,3,2,391,0.269,14,8,0,1
Ehlers,P,CMU ,2015,3,5.47,9,1,21,8,0,0,2,3,65,73,34,59,51,76,12,0,1,256,0.269,4,8,0,1
Williams,P,CMU,2009,1,2.23,9,6,15,15,7,0,1,0,97,105,28,59,23,83,8,3,16,391,0.218,14,8,0,1
Mattivi,P,CMU ,2009,1,5.47,9,6,18,15,4,2,2,1,97,105,44,32,9,64,14,3,16,358,0.277,14,8,0,1
Mattivi,P,CMU ,2015,3,5.47,11,6,15,15,2,0,1,0,97,99,74,59,51,64,14,4,16,391,0.269,14,8,1,1
Ehlers,P,CSUP,2009,1,3.32,9,1,21,15,2,0,2,3,97,105,74,24,51,45,14,3,1,391,0.269,14,4,1,1
Carma,P,CMU ,2008,3,3.61,8,3,14,14,3,0,0,0,82.1,85,49,33,43,78,6,4,2,314,0.283,14,10,0,1
Fabrizio,P,CMU ,2015,3,3.15,11,3,14,15,1,0,2,0,91.1,99,49,33,44,64,9,4,3,358,0.283,1,3,3,1
Fabrizio,P,CMU ,2008,1,3.61,8,3,14,14,1,0,0,0,82.1,91,33,33,43,78,6,4,3,314,0.283,14,10,0,1
Carma,P,CMU ,2014,3,3.61,8,3,14,14,1,0,0,0,82.1,91,49,33,44,74,9,4,3,314,0.271,14,8,0,1
Ehlers,P,CSUP,2015,3,3.61,8,3,21,8,1,0,0,0,82.1,91,34,24,44,74,9,0,1,322,0.283,4,10,0,1
Fabrizio,P,CMU,2013,3,3.61,9,1,15,15,7,2,1,0,97,91,28,24,44,83,8,0,3,322,0.283,7,10,3,1
Fabrizio,P,CMU,2012,3,2.23,9,6,15,15,7,2,1,0,102.2,122,28,24,32,83,27,3,3,348,0.218,7,12,0,1
Fabrizio,P,CMU ,2016,3,4.38,4,6,20,14,4,0,3,5,102.2,122,19,50,23,87,27,0,4,419,0.291,10,12,2,1
Fabrizio,P,CMU ,2012,3,3.25,8,3,13,12,3,0,0,0,102.2,122,33,30,43,78,6,3,2,419,0.291,10,12,2,1
Reno,P,CSUP ,2015,1,3.15,11,6,15,15,4,2,2,0,102.2,99,44,32,9,87,27,4,4,358,0.277,1,12,0,1
Ehlers,P,CSUP ,2016,1,2.93,7,1,20,2,0,0,3,5,43,30,63,14,23,87,27,0,2,155,0.194,1,2,2,1
Fabrizio,P,CSUP ,2012,3,3.15,7,2,15,14,4,0,0,0,102.2,99,44,32,9,87,27,4,4,358,0.291,1,3,2,1
Eckert,P,MSUD ,2016,1,2.93,7,4,25,2,1,0,3,2,54.1,66,39,35,29,37,4,0,2,155,0.194,1,9,1,1
Ehlers,P,MSUD ,2015,2,5.8,8,4,21,8,0,0,0,2,54.1,73,34,35,29,45,12,1,4,215,0.285,10,4,0,1
Eckert,P,MSUD ,2008,2,3.25,8,4,25,2,3,0,0,2,83,66,33,35,29,78,6,2,4,215,0.307,10,8,0,1
Reno,P,MSUD ,2015,1,5.8,11,4,15,15,4,0,2,2,91.1,99,39,32,9,45,13,1,5,215,0.277,10,3,0,1
Eckert,P,MSUD ,2015,1,5.8,7,1,25,8,0,0,2,2,65,73,39,24,29,45,12,0,1,215,0.285,4,4,0,1
Eckert,P,MSUD ,2008,1,5.8,8,4,25,12,3,0,0,2,54.1,66,39,35,43,78,6,1,2,215,0.307,14,9,0,1
Vassil,P,NMHU,2009,1,5.02,9,4,15,15,0,0,2,3,65,73,34,60,24,45,12,0,1,448,0.285,4,5,1,1
Vassil,P,NMHU,2009,2,2.93,9,4,15,2,5,0,0,5,43,137,71,14,24,74,4,0,8,448,0.194,1,5,1,1
Carma,P,CMU ,2009,1,5.02,9,3,15,12,3,0,0,0,83,85,33,60,43,74,6,2,8,314,0.271,14,5,0,1
Vassil,P,CMU ,2008,2,3.25,8,4,13,15,3,0,0,0,107.2,137,71,30,24,78,6,2,2,314,0.271,5,8,0,1
Williams,P,CMU,2009,1,5.02,9,1,15,15,5,0,1,0,107.2,137,28,24,23,74,8,0,3,448,0.306,5,10,1,1
Vassil,P,NMHU,2009,1,5.02,9,1,15,2,5,0,0,5,43,137,19,60,23,74,4,0,8,448,0.194,1,5,1,1
Vassil,P,CMU ,2010,1,4.34,4,2,16,2,3,0,3,5,103.2,120,61,50,23,37,23,1,13,155,0.291,1,5,1,1
Ehlers,P,NMHU,2015,1,3.32,8,1,16,8,0,0,2,3,65,120,34,24,22,74,12,0,13,256,0.291,5,4,1,1
Ehlers,P,NMHU,2015,1,3.32,8,1,21,15,3,0,1,0,65,73,34,24,22,45,23,0,1,413,0.291,5,5,0,1
Vassil,P,CMU,2013,1,2.23,12,1,16,15,7,0,1,0,97,76,61,50,22,74,8,1,3,348,0.291,5,5,1,1
Carma,P,CMU ,2010,1,4.34,8,3,16,15,3,0,1,0,83,85,33,30,43,74,6,2,13,314,0.291,14,5,0,1
